definition,peak_at,trough_at,depth,window,trail_vol_at_peak,mkt_vol_at_peak,mkt_prior_2y,mkt_during,vol_std_depth,also_slow,lo_ret,hi_ret,factor_ret,loser_share,winner_share,retrace_20d,crash_days,sessions,leg_data,bear_state,route,formation_at,era
fast,1983-07-26,1983-08-09,-0.07535007352243228,10,0.08229076784626156,0.11618386634985232,0.4903323389443528,-0.06018125336040814,-4.596558969803323,False,-0.03919387851680134,-0.1275969435655352,-0.07368570365477256,-0.4433542942792196,1.4433542942792197,0.06283119709892689,0,11,True,False,Route 2,1983-06-30,returns-only
fast,1984-07-23,1984-08-06,-0.07420608532589146,10,0.05840376451129627,0.10536843964265402,0.4851831865554941,0.08789957748269561,-6.378212004372617,False,0.13650203062420574,0.04825314072572806,-0.06948453636105345,1.5467846766258353,-0.5467846766258353,0.15347430883280208,0,11,True,False,FITS-NONE,1984-06-30,returns-only
fast,1985-01-07,1985-01-21,-0.048309802007238334,10,0.052361942112742754,0.09811317620714809,0.20575785931902457,0.07219764667423711,-4.631479880047726,False,0.13378354105446677,0.036489484713586595,-0.05078419652201949,1.3750433077406268,-0.37504330774062666,-0.07984906584920037,0,11,True,False,FITS-NONE,1984-12-31,returns-only
fast,1985-07-15,1985-07-29,-0.054075112370781664,10,0.036960506194881254,0.07810923190693436,0.24772727207927026,-0.018559257729849676,-7.344458657425592,False,0.02919988173147936,-0.04703907926120077,-0.05208867010676044,0.38300471768342836,0.6169952823165716,0.41033540933459606,0,11,True,False,Route 2,1985-06-30,returns-only
fast,1986-08-28,1986-09-12,-0.06547871726262144,10,0.07122545331551097,0.12486085462698933,0.6357150822365791,-0.08853778891254427,-4.614930992128771,True,-0.041399928553579546,-0.1278411947649567,-0.06417038746678916,-0.4789370906754557,1.4789370906754558,0.22376325056670515,0,11,True,False,Route 2,1986-07-31,returns-only
fast,1987-10-12,1987-10-26,-0.12541684350142135,10,0.05885603390709195,0.12303871571028652,0.6929143335370131,-0.2766952133090037,-10.697077527584678,True,-0.2884266634380236,-0.388782380048183,-0.13040196749346333,-2.874043185386661,3.874043185386661,0.6109871177515148,0,11,True,False,Route 2,1987-09-30,returns-only
fast,1987-12-22,1988-01-07,-0.05185595637898477,10,0.16072465862744623,0.4135512595247967,0.20843964165870132,0.05054646807577434,-1.6196322161327321,False,0.12172014045122426,0.04065890341974754,-0.04711523616088009,1.501582567805613,-0.5015825678056129,-0.4738962036717223,0,11,True,False,FITS-NONE,1987-11-30,returns-only
fast,1990-10-31,1990-11-14,-0.06256003605235427,10,0.06102641216570264,0.18173748550137855,0.09910178356048838,0.061031321114851655,-5.146114238020219,False,0.12728688056879522,0.03428162604472762,-0.060685156124459017,1.3685988089614478,-0.36859880896144775,-0.27716629170184703,0,11,True,False,FITS-NONE,1990-09-30,returns-only
slow,1990-10-31,1990-12-06,-0.08882054113345117,25,0.06102641216570264,0.18173748550137855,0.09910178356048838,0.09716207671489618,-4.6208922624888995,True,0.18997333543840056,0.06170030376388169,-0.08699818221571853,1.4810076050938017,-0.48100760509380175,0.08269736550236993,0,26,True,False,FITS-NONE,1990-09-30,returns-only
fast,1991-01-21,1991-02-04,-0.07673896773807032,10,0.09842140436085879,0.16765924229601192,0.18178846539004812,0.06369599498650036,-3.91405267182704,False,0.25961688611921985,0.05932559487644107,-0.08015503355743958,1.2961965770370456,-0.2961965770370456,-0.22392704390004622,0,11,True,False,FITS-NONE,1990-12-31,returns-only
slow,1990-10-31,1991-03-11,-0.14428689669378014,89,0.06102641216570264,0.18173748550137855,0.09910178356048838,0.2748044806007506,-3.9784538254914565,True,0.6110016701712948,0.26827902441841767,-0.14257547048716768,1.7827875623131784,-0.7827875623131784,0.3622035122544257,0,90,True,False,FITS-NONE,1990-09-30,returns-only
fast,1992-01-13,1992-01-27,-0.0434776067729451,10,0.07316525678216422,0.12395763323153478,0.32829184542402445,0.002595398189880971,-2.9830532060805557,False,0.04302297408806832,-0.012148189927435937,-0.0434776067729451,0.7798090697520531,0.22019093024794692,-0.2508246956613204,0,11,True,False,FITS-NONE,1991-12-31,returns-only
fast,1993-04-13,1993-04-27,-0.047944140388525014,10,0.06730478761844262,0.0943590720213342,0.2566298048516942,-0.02289967345665711,-3.57593691524778,False,0.009292261165517068,-0.05894923441422395,-0.0422318052308559,0.13616731413306948,0.8638326858669305,-0.1882668413676276,0,11,True,False,Route 2,1993-03-31,returns-only
