formation,sigma,calendar_state,var_uncond,var_scaled,var_state,var_terc,es_scaled,prob_below_level,prob_below_own_var,realised,weight_l2_norm,earnings_weight_in_window,fomc_in_window
2019-01-31,0.23730020066655613,False,-0.05756192633090831,-0.06664855773858266,-0.06533709115409267,-0.058720432891710125,-0.10361375146654046,0.12643678160919541,0.07105538140020899,-0.00542451735768823,0.2367250804827492,0.014275361945568507,False
2019-02-28,0.23872058601468094,False,-0.05756192633090831,-0.06643341711869431,-0.06390009695333757,-0.058917453789401754,-0.10347158571588763,0.12794268167860798,0.07267144319344933,-0.001968323543373507,0.12604237830830467,0.005333935172643871,False
2019-03-31,0.229104716785012,False,-0.057393659813670575,-0.06324189476265671,-0.060175812679633005,-0.056496755612745864,-0.09859060143655518,0.11523046092184369,0.06513026052104208,-0.03171067064237243,0.14758381293460412,0.0,False
2019-04-30,0.18948362286029682,True,-0.05702361626251026,-0.05189673149921867,-0.05927807453143633,-0.06237659083618544,-0.08096604579120223,0.08235294117647059,0.043137254901960784,0.02532769641933985,0.1410915504288199,0.047954944274675164,True
2019-05-31,0.16345858800498486,False,-0.056884575355063326,-0.043768296890347884,-0.04253824063137727,-0.05326403981267895,-0.06888066389260307,0.05182341650671785,0.025911708253358926,0.03801388365837388,0.16142170770931027,0.03866908746352882,False
2019-06-30,0.17063641571080035,False,-0.05673728516037595,-0.04666834487874725,-0.044812266975814266,-0.054989951060097006,-0.07160238046408098,0.06120527306967985,0.027306967984934087,0.05849789338673528,0.15630860265240934,0.00019502150563436627,False
2019-07-31,0.16933713361955233,False,-0.05593335138447962,-0.04528281874689329,-0.04426897250419466,-0.05396287679653232,-0.07059017539971021,0.05904059040590406,0.027675276752767528,0.11449464373840557,0.2514351485318953,0.012117930233409567,False
2019-08-31,0.17626962085493886,False,-0.05570714996327264,-0.04653363779996133,-0.045685593624815786,-0.056055466288467165,-0.07300023882089217,0.06329113924050633,0.03345388788426763,-0.17107035725525355,0.15871364697487167,0.0013815741564091489,False
2019-09-30,0.24157549340234757,True,-0.0582096745250224,-0.06965914387049023,-0.07433955792604482,-0.05834618144184944,-0.11959559367035028,0.12788632326820604,0.07371225577264653,0.023338300139375434,0.14026990058618316,0.0,True
2019-10-31,0.2500513117562979,False,-0.061132473668811575,-0.07422122048816363,-0.07135926270131246,-0.06342553304534924,-0.123807662197972,0.13577023498694518,0.07397737162750218,-0.04652608291329774,0.1396558067187544,0.025257074087993086,False
2019-11-30,0.26527891055687447,True,-0.06552036244909179,-0.08007380011763944,-0.0849443385059895,-0.0695407448438955,-0.13089369072733545,0.1514114627887083,0.07698887938408897,-0.03653635087057605,0.109571734284993,0.017844550633731002,True
2019-12-31,0.2592206308371396,False,-0.06391790318525305,-0.07763145770582261,-0.07357950990764837,-0.06791775683891658,-0.12707326358540386,0.14705882352941177,0.07647058823529412,0.02399175097002093,0.392822858924437,0.01016194444232824,False
2020-01-31,0.25768586164398016,False,-0.06372899947907468,-0.0766624464755621,-0.0726934119590384,-0.06739603783902948,-0.12550713871665395,0.14203137902559868,0.07431874483897605,0.026378447542487082,0.4190812311445244,0.029652556344605462,False
2020-02-29,0.2663534280346847,True,-0.06359518343093666,-0.07839132555172089,-0.08507124300593019,-0.06945667560881331,-0.1289140849563132,0.14715447154471545,0.08048780487804878,0.0913965330562081,0.369682798444669,0.006647141791986069,True
2020-03-31,0.2511640323145537,False,-0.06325489116435887,-0.07274811286666497,-0.06983776657052324,-0.06526878883936618,-0.12079107136915322,0.134185303514377,0.07028753993610223,-0.04399443797670943,0.335583387325131,0.0360501592401516,False
