formation,sigma,bear,n_train,n_state,var_uncond,var_scaled,var_cond,realised
1942-11-30,0.04550496236675834,False,4667,2602,-0.06155476140995495,-0.0177261254431575,-0.013585496461638761,0.020456485829866367
1942-12-31,0.043989658784765476,False,4693,2628,-0.06133501100439462,-0.01703821139823364,-0.0131060596175087,-0.038935098390877165
1943-01-30,0.053056909823321716,False,4718,2653,-0.061187467681730695,-0.02104841738881741,-0.016495461432981078,0.025160597190886813
1943-02-27,0.05747517725070617,False,4740,2675,-0.06086925110382567,-0.02279177079621711,-0.017781137535318434,0.02043050047984374
1943-03-31,0.06821858632367057,False,4767,2702,-0.06069458664508979,-0.02695761050756568,-0.021031719585528273,-0.005296268421499106
1943-04-30,0.1089452765382699,False,4792,2727,-0.06066097370388613,-0.04288182346476249,-0.03354532656986094,0.04520467992787891
1943-05-29,0.12764095204909787,False,4817,2752,-0.06025764063903051,-0.050174696955894015,-0.03914855305757448,-0.02419293034635628
1943-06-30,0.13634210853584486,False,4843,2778,-0.060035806120636546,-0.05356756493499921,-0.04179145333926354,0.007744351614661582
1943-07-31,0.15084427201587772,False,4869,2804,-0.05984125758083107,-0.059128102531107646,-0.046189723507092634,0.0060229455877895965
1943-08-31,0.15338888877620863,False,4895,2830,-0.05973806019376683,-0.06006847741340891,-0.04728815309621361,0.02969073378726761
1943-09-30,0.1299833718596348,False,4920,2855,-0.05950184565776917,-0.050824980844792096,-0.03995970887768703,-0.03348713025252459
1943-10-30,0.1195880529149969,False,4945,2880,-0.059373244606467646,-0.046607183085710255,-0.036727474624236624,-0.050786508595732194
1943-11-30,0.13527382126634882,False,4968,2903,-0.059368394276803904,-0.052912881956388144,-0.041921419312528165,0.029835007016841164
1943-12-31,0.12238566517366357,False,4994,2929,-0.05926085257102058,-0.04778180878552823,-0.03779068488655766,-0.016502940882551442
1944-01-31,0.11094906651252226,False,5019,2954,-0.05918762106844735,-0.04309397604797381,-0.03420387380968852,-0.0012175981964366311
1944-02-29,0.10408416056249907,False,5042,2977,-0.058744399029253165,-0.04023739704823709,-0.031985026469251276,-0.00292154461895644
1944-03-31,0.09611447175113685,False,5069,3004,-0.05863943915891057,-0.03687589592935432,-0.029431020587563174,0.002486865269439642
1944-04-29,0.041863651059123895,False,5093,3028,-0.05841441276809103,-0.016040748916771146,-0.012756204226972191,0.014883899041943094
1944-05-31,0.036480019736837926,False,5119,3054,-0.05799477366868541,-0.013910553301296966,-0.01105687497897817,-0.0016195623007003723
1944-06-30,0.03620660713184936,False,5145,3080,-0.057882769316518076,-0.013982013040805649,-0.011163961833398078,-0.01263823349539972
1944-07-31,0.044098226721718474,False,5170,3105,-0.05780609910444919,-0.01731869464269785,-0.014086280416046012,0.013081478095253063
1944-08-31,0.049549408069119116,False,5195,3130,-0.05770482100485401,-0.019403996750964866,-0.01578729908642022,-0.0330925149614093
1944-09-30,0.06714799416214967,False,5219,3154,-0.057663672283511,-0.026385461829001627,-0.02151041559655126,0.0017725301405517868
1944-10-31,0.0721488683209937,False,5244,3179,-0.057618769611339875,-0.02830336076539416,-0.02303605168479172,-0.009977878740639157
1944-11-30,0.07608831079738917,False,5267,3202,-0.05758228660240167,-0.029763142543030474,-0.024180953670769532,0.005283197633134673
1944-12-30,0.07293589952828505,False,5292,3227,-0.057496215615243644,-0.028482135438515223,-0.023142622496392474,-0.01414777025206615
