formation,long_n_names,long_effective_n,long_weight_l2,long_top1,long_top5,short_n_names,short_effective_n,short_weight_l2,short_top1,short_top5
2017-12-31,260,18.082856469618708,0.23516164116797503,0.17563440304261518,0.43369326423864946,260,11.367063539146567,0.2966032163593087,0.21422708707429114,0.5207782308411777
2018-01-31,260,19.27831592295394,0.22775370651466403,0.1551543655559105,0.4273784669298757,260,8.63639394397938,0.3402779266207309,0.2646731359641693,0.5749334391614431
2018-02-28,258,23.80562030207495,0.20495581698559132,0.1330223443896368,0.3731962084622215,258,9.476858946672934,0.3248387208656841,0.2551482765165923,0.51975557642671
2018-03-31,259,17.802626871273887,0.23700524394922812,0.18080146097471095,0.41854883467767073,259,10.48463484639164,0.3088327475369997,0.2324248412999992,0.5431261355575348
2018-04-30,259,14.659184374996313,0.26118311453180415,0.20763231416707442,0.46044738461152046,259,10.579421813521884,0.3074461318781249,0.22439946793517787,0.5317305508234028
2018-05-31,258,15.696876197620465,0.2524023438448782,0.19995123673896428,0.44268958458035823,258,11.606536711308353,0.29352741864653786,0.21183657397143246,0.514161969668106
2018-06-30,270,11.358548930543433,0.29671436555652836,0.2631757191125334,0.4936163100686319,270,22.063660499180465,0.21289291909843944,0.13299762046720373,0.39616254742578283
2018-07-31,269,13.534832789915992,0.2718150833403086,0.23526564086006801,0.4502591082295897,270,15.957849365441907,0.2503299539023424,0.17716796898893217,0.4763474711058036
2018-08-31,270,7.090520298592059,0.3755441037231272,0.35895476210393545,0.5373115371888463,270,23.172972271899994,0.20773473916528795,0.11626762298538705,0.40519421304799835
2018-09-30,269,7.163754551024154,0.37361960014660933,0.35780554397568987,0.5298123968203108,269,22.125220056222776,0.21259654413643475,0.13295871061333797,0.3985005992431265
2018-10-31,267,10.443587686234165,0.309439065787613,0.22835621217979984,0.5329192080332025,267,21.357420047520417,0.216384229506574,0.15149327990282807,0.4096845660727201
2018-11-30,268,8.409468742291807,0.3448384780614024,0.33094391089730696,0.47015703592208585,268,24.10708742708634,0.2036702650387056,0.12233779125269259,0.3931481142022555
2018-12-31,267,8.758111768964897,0.33790510913698457,0.31014070089182716,0.5179844843800638,268,18.501349070908432,0.23248680085353207,0.1778585874965263,0.415916182733847
2019-01-31,266,14.631088492082155,0.26143376747331115,0.22270563339408375,0.4312133965461088,266,12.697701403358264,0.280632163851255,0.24799966044214092,0.4323913275481473
